id,hhb,hbo2,ca,na
10056,7.820467949,4.133391857,9.493336678,3.19643116
10057,7.966055393,4.153982162,9.603543282,3.137000084
10058,7.85026741,4.316418648,9.799998283,3.285715103
10059,7.299490452,4.134436607,9.351764679,2.97040081
10060,8.065792084,4.224476814,9.525829315,3.365557671
10061,7.669278145,4.204170704,9.735330582,3.125628471
10062,8.016319275,4.138600349,9.545610428,3.270097256
10063,8.011331558,4.237894058,9.74853611,3.206123829
10064,8.251338959,4.142476559,9.505129814,3.166258335
10065,8.166526794,4.20650959,9.504858971,3.224202633
10066,7.774507999,4.229207516,9.547554016,3.186751842
10067,8.215874672,4.054931641,9.007049561,3.220450401
10068,7.843840122,4.077479839,9.602000237,3.258521557
10069,8.174873352,4.146064281,9.832978249,3.050835133
10070,8.453580856,4.406237125,9.972073555,3.345192909
10071,7.81473875,4.19376564,9.437775612,3.208852768
10072,7.685517788,3.937312841,10.37913132,3.427056789
10073,7.393444538,4.258433819,9.071976662,3.189745426
10074,8.045034409,4.175900936,9.442653656,3.278471947
10075,7.966729641,4.328638554,10.03684139,3.229722977
10076,7.31185627,4.190533161,9.205231667,3.018225193
10077,8.036724091,4.207358837,9.64968586,3.273359776
10078,7.603950024,4.218411922,9.660690308,3.288537502
10079,7.975863457,4.098504066,9.401535988,3.14818573
10080,7.94985342,4.166974545,9.49985981,3.142623901
10081,8.030990601,4.279167175,9.577843666,3.192043781
10082,8.297449112,4.209031582,9.745972633,3.203522682
10083,8.177919388,4.130398273,9.522374153,3.126384735
10084,8.213119507,4.296634197,9.550858498,3.200794697
10085,8.291931152,4.208848476,9.396946907,3.198039532
10086,8.283061981,4.193546295,9.480121613,3.163106441
10087,7.703446865,3.851139784,9.260872841,3.177816391
10088,7.331276417,4.294266224,9.068388939,3.139291763
10089,7.915928364,4.04227972,9.589822769,3.049846172
10090,8.166072845,3.906635046,9.711281776,3.295253754
10091,7.530629635,3.889685392,9.408707619,3.081521511
10092,7.529428959,4.271539211,9.295136452,3.069435596
10093,7.827880859,4.352095127,9.591700554,3.025309563
10094,7.977364063,4.162518024,9.342589378,3.155610561
10095,7.738279819,4.136977196,9.353894234,3.182537556
10096,8.239124298,4.236754894,9.407902718,3.13505125
10097,8.179307938,4.201937199,9.416192055,3.256244183
10098,8.033334732,4.189601898,9.571929932,3.148835182
10099,7.66840601,4.101925373,9.309659004,3.150166035
10100,7.950589657,4.190452576,9.469758034,3.323813915
10101,7.805796146,4.048074245,9.418457985,3.034351826
10102,8.279027939,4.050253391,9.228193283,3.095611572
10103,7.558693409,4.206029892,9.175828934,3.224469662
10104,7.794617176,4.148256779,9.334190369,3.124103069
10105,8.487195969,4.198423386,8.880517006,3.189620495
10106,7.528524876,3.777793169,9.554114342,3.312414169
10107,8.338514328,4.210989475,9.481104851,3.307557583
10108,7.808827877,4.250142097,9.438070297,3.186739922
10109,8.267421722,4.171106339,9.379158974,3.273293018
10110,7.763833523,4.267255306,9.478409767,3.214948177
10111,8.231769562,4.155578136,9.340626717,3.265228271
10112,7.944220066,4.158270359,9.752215385,3.172236919
10113,7.833199024,4.133567333,9.463857651,3.218787193
10114,7.893549442,4.209311962,9.885839462,3.147505283
10115,7.716538906,4.203652859,9.290973663,3.193023205
10116,7.838001728,4.359951496,9.610920906,3.030075073
10117,7.889282703,4.133053303,9.281984329,3.096391201
10118,8.046199799,4.246638775,9.668438911,3.130796432
10119,8.190307617,4.110528946,9.559693336,3.168623924
10120,7.627149105,4.274154186,9.464066505,3.116712093
10121,7.999120235,4.143770695,9.786615372,3.195586205
10122,8.041717529,4.19970417,9.628379822,3.259022713
10123,7.811045647,4.124506474,8.987132072,3.07519865
10124,8.051087379,4.21875906,9.518792152,3.35517025
10125,7.856022835,4.163989544,9.664183617,3.201934338
10126,8.07326889,4.267679691,9.710998535,3.142192841
10127,7.907414913,4.113983631,9.49236393,3.174559593
10128,8.079805374,4.244624138,9.552160263,3.276996613
10129,7.353271961,4.246075153,9.040180206,3.164013386
10130,7.447460651,3.938322306,9.646590233,3.181894302
10131,8.175680161,4.402166367,9.671813011,3.239241123
10132,7.867725849,4.051753521,9.292183876,3.12909317
10133,8.421573639,4.331242085,9.669416428,3.248885632
10134,7.97507906,4.182070732,9.98369503,3.13885355
10135,8.316011429,4.216147423,9.545088768,3.181736946
10136,8.051103592,4.258308411,9.697077751,3.248079777
10137,7.934459209,4.173385143,9.709149361,3.279532909
10138,8.177305222,4.165556431,9.724389076,3.076366425
10139,7.212819576,4.087935448,9.278707504,3.028565884
10140,7.594564915,3.949383974,9.463774681,3.056201458
10141,7.819256783,4.353435993,9.583739281,3.024682999
10142,8.09551239,4.223521233,9.466708183,3.257050037
10143,8.392623901,4.193051338,9.597905159,3.169929028
10144,7.78070116,4.082197189,9.550063133,3.101998806
10145,8.162608147,4.123380661,9.473107338,3.126545429
10146,7.433110237,4.003650188,9.344689369,3.089459896
10147,8.073728561,4.13220787,9.481629372,3.310486794
10148,7.514358997,3.895195723,9.479367256,3.191484451
10149,8.352140427,4.145197392,9.359396935,3.30313158
10150,8.059131622,4.112600327,8.610116005,3.086233139
10151,7.982137203,4.237856865,10.23586178,3.178857803
10152,7.276861668,3.752478361,9.320773125,3.130993843
10153,8.096088409,4.061805725,9.778162956,3.15014267
10154,8.031017303,4.131175995,9.032359123,3.078722477
10155,7.696006775,4.228802681,9.926930428,3.135353565
10156,8.421869278,4.322263718,9.664515495,3.247548103
10157,8.44222641,4.207014084,9.570889473,3.270961761
10158,8.116752625,4.378973961,10.03829479,3.259168148
10159,8.212543488,4.120048046,9.167248726,3.252624035
10160,7.936506271,4.302305698,9.435048103,3.257098675
10161,7.7085886,4.044840813,9.307100296,3.135793686
10162,7.635561466,4.266907215,9.613137245,3.227035522
10163,7.808220387,3.9273417,8.958983421,3.046449661
10164,7.880554676,4.184533119,9.455441475,3.22457552
10165,7.801021099,3.996138334,9.488808632,3.089477062
10166,7.765965939,4.229813576,9.060153008,3.116474628
10167,8.018709183,4.210814953,9.502243996,3.355318546
10168,7.711602688,4.175553799,9.260465622,3.101857185
10169,7.823687077,4.195816517,9.7610569,3.314480782
10170,7.95086813,4.148472309,9.747782707,3.172507763
10171,7.722329617,4.139077663,9.419287682,3.2000103
10172,8.016106606,4.201613903,9.525555611,3.314994335
10173,7.732905388,4.146213531,9.426142693,3.208992481
10174,8.305171967,4.664043903,10.04612064,4.329790115
10175,8.038776398,4.096899033,9.356823921,3.145384312
10176,8.078865051,4.206216335,9.819255829,3.186104774
10177,8.801809311,3.994914293,9.508224487,2.773541451
10178,7.958292484,4.192810059,9.22712326,3.113635063
10179,9.0207901,4.076613903,9.201626778,3.095150948
10180,8.47486496,4.215059757,9.582589149,3.290156364
10181,7.947797298,4.202721596,9.502503395,3.332475185
10182,8.01962471,4.2047472,9.74022007,3.217700005
10183,8.007937431,4.193984509,9.517045975,3.288537502
10184,8.045465469,4.162431717,9.591510773,3.163125515
10185,8.717933655,4.061002731,10.56134987,2.927073956
10186,7.638480663,4.302964687,9.613606453,3.254825115
10187,7.842365265,4.212927341,9.825087547,3.347119808
10188,7.811309338,4.153044701,9.518862724,3.221198082
10189,7.316132069,3.718733072,9.793887138,3.077302933
10190,7.62334013,4.191921711,9.724900246,3.082884312
10191,8.312307358,4.210131645,9.533801079,3.177868843
10192,7.738630295,4.289491177,9.233689308,3.252898216
10193,8.325080872,4.348657131,9.908867836,3.325072289
10194,8.780000687,4.090358257,9.199500084,3.078794956
10195,7.897013664,4.114391327,8.583661079,3.021782398
10196,7.396789074,4.071086407,10.07544231,3.075511456
10197,8.016017914,4.000973701,8.580518723,3.227519035
10198,7.80644846,4.160613537,9.651133537,3.187084198
10199,8.066465378,4.138263702,8.857513428,3.089131832
10200,7.971221447,4.205177784,9.83258152,3.127791405
10201,7.937889099,4.261680603,9.828024864,3.326917648
10202,7.652520657,4.177481651,9.415717125,3.192222595
10203,8.125951767,4.217906952,9.916913033,3.254955769
10204,7.949712276,4.243968487,9.608719826,3.200254917
10205,7.496109962,4.153483868,9.441712379,3.132366657
10206,7.814883709,4.176862717,9.523352623,3.193480015
10207,8.473731995,4.20749712,9.557492256,3.072140217
10208,7.427901745,4.169687748,10.2169857,2.925627708
10209,7.621562481,4.20232439,9.455235481,3.179049969
10210,7.917306423,4.312752247,10.05623531,3.205932617
10211,7.762309074,4.164144039,9.221299171,3.166079044
10212,7.867500782,4.022910118,9.613390923,3.053333282
10213,8.071102142,4.153790474,9.361253738,3.157274246
10214,8.903495789,4.160445213,9.509081841,3.013514519
10215,7.876933575,4.204035282,9.730642319,3.149146557
10216,7.567333221,4.250401974,9.35563755,3.087605953
10217,8.282342911,4.213553905,9.453350067,3.108636379
10218,7.761332989,4.009727955,9.316859245,3.093468189
10219,8.072698593,4.349127769,9.997998238,3.224003315
10220,7.606813908,4.141372204,9.2998209,3.197978497
10221,8.968532562,4.185864449,9.807530403,2.757436752
10222,8.14525795,4.24830246,9.602262497,3.318824768
10223,7.670394897,4.1822505,9.42605114,3.148090839
10224,8.29933548,4.181471348,9.361945152,3.320643902
10225,7.926512241,4.179774284,9.739550591,3.160725594
10226,8.204914093,4.023515224,8.574583054,3.239609241
10227,7.341269016,4.114116192,9.866044044,3.055130959
10228,7.791540623,4.154305458,9.37152195,3.19569397
10229,7.900034428,4.161879539,9.197558403,3.164317131
10230,7.657238483,4.126942635,9.10708046,3.132717609
10231,8.061040878,4.17812252,9.389481544,3.134866238
10232,7.821793079,4.130699158,9.176465034,3.160150528
10233,8.279407501,4.11371851,8.638085365,3.20715332
10234,8.076292992,4.210649967,9.598064423,3.153875351
10235,7.613227367,4.209884167,9.832253456,3.139130116
10236,8.077299118,4.261601448,9.708683968,3.141617298
10237,8.264015198,4.158367157,9.63783741,3.104217529
10238,7.979167461,4.252354145,9.63781929,3.249560833
10239,8.233457565,4.187769413,9.440553665,3.109594345
10240,8.545570374,4.035048008,9.507792473,3.056614399
10241,7.795630932,4.139504433,9.188061714,3.069288731
10242,7.817937374,4.28063488,9.511754036,3.224786282
10243,8.261890411,4.23458147,9.892931938,3.121483803
10244,7.648962498,4.137504101,9.118280411,3.143857956
10245,8.076759338,4.168629169,9.537438393,3.328733444
10246,7.788733006,3.971600771,10.33300686,3.492126465
10247,8.277374268,4.174438,9.388266563,3.274018764
10248,7.386276722,3.838329077,9.230050087,3.232650757
10249,8.123610497,4.211778164,9.682455063,3.294331551
10250,7.732520103,4.12565136,9.305289268,3.109852791
10251,7.645945072,3.976392508,9.356994629,3.074836254
10252,8.580509186,4.202780247,9.324276924,3.192480564
10253,7.973937511,4.248744011,10.13181877,3.17739296
10254,7.651114464,4.126987934,9.338112831,3.185204983
10255,7.472705841,3.990840673,8.822968483,2.998717785
10256,8.051099777,4.20942831,9.641648293,3.170392036
10257,8.151731491,4.25344944,9.223402977,3.12985754
10258,7.898203373,4.200126648,9.527671814,3.273989677
10259,8.401041031,4.271548271,9.184163094,3.238646507
10260,8.088851929,4.182658672,9.624907494,3.280727386
10261,7.997772694,4.278929234,9.838198662,3.184038639
10262,7.665568829,4.209254742,9.522574425,3.135339737
10263,8.062492371,4.116751194,9.193881035,3.241464615
10264,7.944237232,4.070014,9.475810051,3.20366621
10265,7.582214355,4.12748003,9.218608856,3.17277813
10266,8.058174133,4.231957436,9.558852196,3.360152245
10267,8.075056076,4.073803902,9.220215797,3.140910149
10268,7.967009068,4.13019371,9.4274683,3.220705509
10269,8.274280548,4.150062084,9.449409485,3.212496281
10270,7.892520428,3.833948135,8.618084908,3.283007622
10271,7.578221798,4.16382885,9.769454956,3.118512154
10272,8.193377495,4.068413734,9.137009621,3.194772243
10273,7.688016891,3.878857613,9.390691757,3.029621124
10274,7.591846466,4.004097939,8.961758614,3.030519962
10275,8.346754074,4.184469223,9.572117805,3.263026714
10276,7.975518703,4.161467075,9.543539047,3.167683601
10277,7.797271729,4.106354713,9.139679909,3.077233791
10278,8.639476776,4.406335354,8.712601662,4.113209724
10279,7.553518772,4.194662571,10.35604477,2.987493515
10280,7.953078747,4.130599022,9.91381073,3.179899693
10281,7.671809673,4.218837261,9.47902298,3.216113091
10282,7.990301609,3.905520201,9.154149055,3.257783413
10283,7.832552433,4.1309762,9.54245472,3.223820686
10284,7.947546482,4.254865646,10.10859966,3.156125546
10285,7.840554714,4.31508255,9.599489212,3.254695892
10286,8.014602661,4.207727432,9.728098869,3.221004009
10287,7.325455189,3.776019812,9.586445808,3.210278988
10288,8.007852554,4.262842655,9.620503426,3.269900799
10289,7.731189251,4.174580097,9.214040756,3.162017822
10290,7.796716213,4.089827061,9.459705353,3.12049675
10291,7.882263184,4.117603779,9.457118034,3.178388596
10292,7.969690323,4.174293518,9.65030098,3.203114986
10293,7.759129047,4.241152763,9.412259102,3.1735425
10294,8.820211411,4.135480881,9.484062195,3.17276907
10295,7.875062466,4.190965176,9.314936638,3.160150051
10296,7.52889967,3.957142591,9.586486816,3.192912579
10297,8.090520859,4.091918468,9.495597839,3.152194977
10298,7.904647827,4.291535378,9.925143242,3.366479397
10299,8.914144516,4.3402071,8.362596512,3.404085159
10300,8.008548737,4.188940525,9.423025131,3.177697182
10301,8.025655746,4.140886307,9.268620491,3.165572166
10302,8.06757164,4.182095528,9.651194572,3.110213757
10303,7.127753735,4.170043945,8.791325569,3.139229298
10304,8.002660751,4.165456295,9.601829529,3.243263245
10305,8.161464691,4.422259331,10.07493305,3.282051086
10306,7.967320442,4.150538445,9.374691963,3.264698029
10307,7.861690521,4.168057442,9.641807556,3.26267767
10308,7.586511612,4.255761623,9.945914268,3.078142166
10309,7.803895473,4.115120888,9.520675659,3.13846159
10310,7.948271751,4.167956352,9.661017418,3.166111946
10311,8.104324341,4.155992985,9.794034004,3.145613194
10312,7.825246334,4.188835621,9.443761826,3.202602386
10313,7.885186672,4.3426404,9.936412811,3.202933788
10314,7.770881176,4.262108326,9.703270912,3.286873341
10315,7.936385155,4.1135602,9.345791817,3.197584629
10316,7.771290302,4.116852283,9.194671631,3.101304531
10317,7.717594147,4.168861866,10.07456207,3.008196831
10318,8.242759705,4.159280777,9.351128578,3.265780449
10319,8.456548691,4.148071289,8.698298454,3.203023434
10320,8.266126633,4.292078018,9.525473595,3.189597607
10321,7.971188545,4.239224434,9.713227272,3.34017992
10322,7.939280033,4.325815201,9.583222389,3.266466618
10323,7.470629215,4.000254154,8.813156128,3.002874374
10324,7.540484428,3.833616495,9.61597538,3.236325264
10325,8.079870224,4.127551556,9.615204811,3.136942863
10326,7.898453236,4.186366081,9.453085899,3.2264328
10327,7.76487112,4.149615288,9.67592907,3.112185001
10328,7.866028309,4.288498402,10.32149982,3.191828728
10329,8.098604202,4.156822681,9.353430748,3.222830772
10330,8.344697952,4.083576202,9.466190338,3.196744919
10331,7.937139034,4.244180679,10.03684711,3.150663376
10332,7.479531765,4.268068314,9.645069122,3.381094933
10333,7.921207428,4.267379284,9.557886124,3.213133812
10334,7.882711411,4.182509422,9.557221413,3.160182953
10335,7.975205898,4.197105885,9.957216263,3.138592243
10336,9.714683533,4.177096844,9.203522682,3.259449482
10337,7.619019032,3.824002028,9.25574398,3.042724133
10338,8.001302719,4.126912594,9.414418221,3.350464344
10339,8.481109619,4.331467628,9.379721642,3.178572655
10340,7.988781452,4.440297127,9.592944145,3.178440094
10341,7.854739666,4.314770222,9.808506012,3.284579277
10342,7.937901974,4.03247261,9.381752968,3.184712887
10343,8.082105637,4.257710457,9.767526627,3.212976933
10344,8.039373398,4.155006886,9.381480217,3.150660515
10345,7.600492001,4.262564659,9.897809029,3.088397026
10346,7.921773434,4.156700611,9.725572586,3.152969837
10347,7.871515751,4.179576874,9.544413567,3.186594009
10348,8.504684448,4.344992161,9.547019005,3.208148479
10349,7.842289448,4.323244095,9.926241875,3.175312042
10350,7.602689266,4.186040401,9.450558662,3.147342205
10351,8.248023987,4.0990448,9.557473183,3.178483486
10352,8.675180435,4.133570671,10.1425581,3.26342392
10353,8.452514648,4.136620045,9.879803658,3.237538338
10354,8.81388855,4.377482891,9.439035416,3.160504818
10355,8.455368042,4.238742352,9.287200928,3.193285942
10356,7.837347507,4.104128361,9.570324898,3.122420788
10357,8.547855377,4.288734913,9.228393555,2.981885433
10358,8.159865379,4.216778278,9.370062828,3.226836681
10359,7.882824898,4.108745098,9.334525108,3.143219471
10360,7.322478771,4.137344837,9.619763374,3.015332222
10361,7.583982944,4.240172386,10.63200283,3.057878494
10362,7.980047703,4.114395142,9.515805244,3.175514698
10363,7.854706764,4.189228535,9.450622559,3.196298122
10364,7.965264797,4.136254311,9.75232029,3.124231815
10365,8.241281509,4.246562481,9.584452629,3.250058651
10366,7.687517643,3.988488436,10.19461536,3.403109074
10367,8.515813828,4.159232616,8.744294167,3.216638088
10368,7.992229939,4.254407883,9.769492149,3.180371284
10369,8.222255707,4.274207115,9.245153427,3.144734383
10370,7.843760014,4.30363369,9.78888607,3.272324085
10371,8.307712555,4.31419611,9.754623413,3.32115078
10372,7.938051701,4.11121273,9.392178535,3.116655827
10373,7.561237335,4.184867382,9.423079491,3.155984402
10374,7.632108212,4.27183342,9.58642292,3.109423161
10375,8.329315186,4.044416904,9.343643188,3.10181427
10376,8.117115021,4.27209568,9.79287529,3.257092476
10377,8.008205414,4.238553047,9.879794121,3.249088764
10378,8.425174713,4.299221992,9.545397758,3.174452305
10379,8.383678436,4.317267418,9.732279778,3.297214508
10380,7.868123055,4.167529583,9.889895439,3.115104675
10381,7.613055706,4.115675926,9.34978199,3.099513531
10382,7.769590378,4.23745966,9.383433342,3.157284737
10383,8.367984772,4.213357449,9.434421539,3.315915585
10384,8.126008987,4.14734602,9.733738899,3.089635849
10385,7.823041439,4.078830719,9.595309258,3.110293388
10386,8.183481216,4.221417904,9.488030434,3.309896469
10387,8.05355835,4.237371922,9.231168747,3.074147224
10388,7.973816395,4.139541626,9.593102455,3.245704174
10389,7.996402264,4.158749104,9.544330597,3.130981445
10390,8.771945953,4.401631355,9.819112778,3.047832966
10391,8.129191399,4.205268383,9.426579475,3.255714417
10392,8.101654053,4.280389786,9.550742149,3.186452389
10393,7.928787708,4.245914936,9.85939312,3.223009109
10394,8.313001633,4.120062828,9.641732216,3.064882278
10395,8.444896698,4.320516586,9.607394218,3.207523346
10396,7.95780611,4.06115818,9.438281059,3.198418617
10397,8.280261993,4.177000999,9.392683983,3.279887199
10398,8.172773361,4.243206024,9.645983696,3.167873859
10399,7.978368282,4.244356155,9.525722504,3.218827248
10400,7.739506245,4.134830952,9.424998283,3.155610085
10401,7.936609745,4.089848518,9.365643501,3.316786766
10402,8.261899948,4.424397945,9.701518059,3.248087406
10403,8.168212891,4.154716969,9.893536568,3.133230209
10404,7.960663319,4.130295277,9.591825485,3.122690201
10405,8.30181694,4.267727375,9.566012383,3.211656094
10406,7.829026222,4.35819149,9.603234291,3.029097557
10407,8.287448883,4.208759308,9.456978798,3.351334095
10408,7.328376293,4.128099918,9.713990211,3.039327621
10409,7.755970478,3.995592356,9.588401794,3.056241035
10410,8.384462357,4.199603558,9.630919456,3.202506065
10411,7.889305115,4.081493855,9.428732872,3.17467308
10412,7.545151234,4.227598667,9.353461266,3.071895123
10413,8.677083969,4.228639603,8.813631058,3.246325016
10414,7.874058723,4.292402267,9.564852715,3.241965294
10415,7.888356686,4.148841381,9.53853035,3.124015331
10416,8.091444969,4.214069366,9.843401909,3.261086464
10417,7.965283871,4.216405392,9.593585014,3.26555872
10418,7.90153265,4.059508324,9.279393196,3.318282604
10419,8.100749016,4.192039013,9.509474754,3.310233116
10420,8.184577942,4.247318268,9.658642769,3.171886921
10421,7.152510166,4.246660233,9.550786972,3.395368576
10422,8.004472733,4.158011913,9.488841057,3.110042095
10423,8.20473671,4.055952549,9.094007492,3.021774769
10424,7.966641426,4.046686649,9.000254631,3.068640709
10425,7.85600853,3.944498301,9.253553391,3.19175148
10426,8.005720139,4.227341652,9.672510147,3.260577679
10427,8.161600113,4.174526691,9.503241539,3.284722328
10428,7.697000027,4.122621059,9.457354546,3.119945049
10429,8.312252045,4.119632721,9.277655602,3.319255829
10430,7.630218029,4.136034489,9.383905411,3.201131821
10431,8.235218048,4.121825695,9.143881798,3.256231785
10432,8.175293922,4.022726536,9.105203629,3.195010185
10433,8.000321388,4.351231098,9.827890396,3.30398941
10434,7.813338757,4.317476749,9.75675869,3.207395554
10435,7.920264721,4.140898705,9.538279533,3.164254189
10436,8.566656113,4.143850327,9.41362381,2.8861413
10437,8.053777695,4.245873928,9.682732582,3.132068634
10438,7.915984154,4.198439598,9.503273964,3.304964066
10439,7.792450428,4.145140648,9.539793968,3.237660885
10440,7.415958405,4.141763687,9.697417259,3.167009354
10441,7.757449627,3.895449877,8.992674828,3.138588905
10442,8.267799377,4.169002533,9.618536949,3.157065868
10443,8.176106453,4.228889465,9.559773445,3.377861023
10444,8.35071373,4.348040581,9.865412712,3.324837685
10445,7.98906374,4.025095463,9.225766182,3.096290588
10446,7.62305212,4.192317486,9.26750946,3.196396351
10447,8.065980911,4.198804855,9.866013527,3.124006748
10448,8.29740715,4.053216457,9.119924545,3.252687931
10449,7.368840694,4.07124567,8.603823662,2.973378658
10450,7.283451557,4.271678448,8.664027214,3.689252377
10451,8.037193298,4.257354259,9.46016407,3.167960644
10452,8.069502831,4.226485252,9.963885307,3.258406162
10453,8.113304138,4.24341917,9.75240612,3.209649086
10454,7.973420143,4.179770947,9.352558136,3.211105824
10455,8.163514137,4.174777985,9.464205742,3.289685249
10456,7.957754612,4.206810474,8.900265694,3.147240639
10457,7.722402096,4.150715351,9.046421051,3.004742146
10458,7.659043312,4.22142601,10.02020645,3.115548611
10459,8.672885895,4.29450655,9.688398361,3.195708752
10460,8.474176407,4.110328674,8.669363976,3.214811325
10461,7.991176128,4.236758232,9.665471077,3.25916481
10462,8.091623306,4.195642948,9.439711571,3.1707654
10463,7.89252615,4.208881378,9.754469872,3.300788403
10464,7.870808125,4.036118984,9.443156242,3.025224209
10465,7.933541775,4.154043674,9.544085503,3.135151863
10466,8.042186737,4.255975246,9.513607025,3.179729939
10467,7.908527851,4.219017506,9.925801277,3.15610218
10468,7.321985722,4.139260292,9.19844532,2.962761879
10469,8.459722519,4.19124794,8.759542465,3.148743629
10470,7.785381317,4.280684948,9.723326683,3.187561989
10471,7.62999773,4.145284653,9.241740227,3.159837723
10472,7.836954594,4.360977173,9.607035637,3.031224728
10473,7.775976181,4.108867168,9.520496368,3.127859592
10474,8.311903,4.288035393,9.270051003,3.132413864
10475,7.930587292,4.131595135,9.41559124,3.195611954
10476,7.840224743,4.359052658,9.606911659,3.030170918
10477,8.036421776,4.034947395,8.836348534,3.073989868
10478,7.888297558,4.289216042,9.65755558,3.19738245
10479,8.274528503,4.191927433,9.479403496,3.164143562
10480,8.258033752,4.282096386,9.718427658,3.199979782
10481,7.777997494,4.116533279,9.284630775,3.176481247
10482,8.451967239,4.091769695,8.921065331,3.031721115
10483,7.942398548,4.12441206,9.482960701,3.184671879
10484,7.493448734,4.139368534,10.11932278,2.894887447
10485,7.881081104,4.1793437,9.467042923,3.298710346
10486,7.885264397,4.32434082,9.617254257,3.224759579
10487,7.868980885,4.322989941,9.835633278,3.2921772
10488,8.301176071,4.206078053,9.523310661,3.173539162
10489,8.452962875,4.283763409,9.418480873,3.212378502
10490,8.034341812,4.165589809,9.45484066,3.185771465
10491,7.715257168,4.252417564,9.465604782,3.188053131
10492,7.970788479,4.24450922,9.481860161,3.114066601
10493,7.424623013,3.716818571,10.01170921,3.044551849
10494,8.064409256,4.21773386,9.221510887,3.107201099
10495,7.664708614,4.028478146,9.076385498,2.974352837
10496,8.185007095,4.107596397,9.225059509,3.263207436
10497,7.971298218,4.391305447,9.391547203,3.150403023
10498,7.863977432,4.153904438,9.728244781,3.08160305
10499,8.689516068,4.11532402,8.662597656,3.105133057
10500,7.869111538,4.227876186,9.528429985,3.232095242
10501,7.853885174,4.366217613,9.620463371,3.035150051
10502,8.361400604,4.080181122,9.493899345,3.117177486
10503,8.148273468,4.156602383,8.778492928,3.104158401
10504,7.514392376,4.116612911,9.472548485,3.088245392
10505,7.831838131,4.357748985,9.597352982,3.028167248
10506,7.333051205,4.189653397,10.13008213,2.991087437
10507,7.694574356,4.209926605,9.265899658,3.211956978
10508,8.319026947,4.172904015,9.813012123,3.079560757
10509,7.782145023,4.009872437,9.558618546,3.053648472
10510,7.796623707,4.152541161,9.376499176,3.188307285
10511,7.939237118,4.219819546,9.653128624,3.35641861
10512,8.007364273,4.301224232,9.667361259,3.222634792
10513,7.925693512,4.261291027,9.945498466,3.217084885
10514,7.864889622,4.274058819,9.643591881,3.228494167
10515,7.985373974,4.238910675,9.712645531,3.187251091
10516,8.352838516,4.318981171,9.767692566,3.246245384
